id,smoothing_fwhm,high_pass,drift_model,confounds,voxel_norm,r2_mean,r2_median,r2_std,n_voxels_selected,hrf_variability,hrf_representativeness,temporal_snr_mean,temporal_snr_median,temporal_snr_max,spatial_snr_mean,spatial_snr_max,run_to_run_reliability,zero_variance_pct,elapsed_time,status
22,6,0.0078125,,motion_6,,0.00377996487912787,0.003108841159658482,0.002478128538804923,241,-0.011598339639539691,0.004149377593360996,0.020632434961731554,0.011274359188973904,0.15331074595451355,0.0,0.0,0.0,0.0,101.0463969707489,success
23,6,0.0078125,,motion_6,demean,0.00377996487912787,0.003108841159658482,0.002478128538804923,241,-0.011598339639539584,0.004149377593360996,0.020632434961731554,0.011274359188973904,0.15331074595451355,0.0,0.0,0.0,0.0,101.08444309234619,success
24,8,,,,,,,,241,0.9939868573294459,1.0,71.6515592993421,74.69776153564453,158.5455322265625,0.0,0.0,0.0,0.0,107.03670048713684,success
25,8,,,,demean,,,,241,0.9939868573294458,1.0,71.6515592993421,74.69776153564453,158.5455322265625,0.0,0.0,0.0,0.0,107.1348934173584,success
26,8,,,motion_6,,,,,241,0.999820360540035,1.0,89.51538591127138,98.15210723876953,169.5028533935547,0.0,0.0,0.0,0.0,110.54470658302307,success
27,8,,,motion_6,demean,,,,241,0.9998203605400352,1.0,89.51538591127138,98.15210723876953,169.5028533935547,0.0,0.0,0.0,0.0,107.33912229537964,success
28,8,,polynomial,,,,,,241,0.9939868573294459,1.0,71.6515592993421,74.69776153564453,158.5455322265625,0.0,0.0,0.0,0.0,107.32403564453125,success
29,8,,polynomial,,demean,,,,241,0.9939868573294458,1.0,71.6515592993421,74.69776153564453,158.5455322265625,0.0,0.0,0.0,0.0,107.68837428092957,success
30,8,,polynomial,motion_6,,,,,241,0.999820360540035,1.0,89.51538591127138,98.15210723876953,169.5028533935547,0.0,0.0,0.0,0.0,107.64551329612732,success
31,8,,polynomial,motion_6,demean,,,,241,0.9998203605400352,1.0,89.51538591127138,98.15210723876953,169.5028533935547,0.0,0.0,0.0,0.0,107.66276955604553,success
32,8,0.0078125,,,,0.003660127782843365,0.003155689395626826,0.002177015528348809,241,0.5334113387149692,0.6265560165975104,0.00835139032448095,0.010840966366231441,0.06330567598342896,0.0,0.0,0.0,0.0,107.96729373931885,success
33,8,0.0078125,,,demean,0.003660127782843365,0.003155689395626826,0.002177015528348809,241,0.5334113387149693,0.6265560165975104,0.00835139032448095,0.010840966366231441,0.06330567598342896,0.0,0.0,0.0,0.0,108.00921964645386,success
34,8,0.0078125,,motion_6,,0.0037465030418491335,0.0032010636580941942,0.00240076864400693,241,0.009292450921481414,0.024896265560165973,0.02202157857488096,0.012872218154370785,0.1491914689540863,0.0,0.0,0.0,0.0,108.22095394134521,success
35,8,0.0078125,,motion_6,demean,0.0037465030418491335,0.0032010636580941942,0.00240076864400693,241,0.009292450921481264,0.024896265560165973,0.02202157857488096,0.012872218154370785,0.1491914689540863,0.0,0.0,0.0,0.0,108.23166084289551,success
